Species,tip_label,scientificName,spp
Euphydryas chalcedona,Nymphalidae_Nymphalinae_Melitaeini_Euphydryas_chalcedona,Euphydryas chalcedona,Euphydryas_chalcedona
Euphydryas editha,Nymphalidae_Nymphalinae_Melitaeini_Euphydryas_editha,Euphydryas editha,Euphydryas_editha
Euphydryas phaeton,Nymphalidae_Nymphalinae_Melitaeini_Euphydryas_phaeton,Euphydryas phaeton,Euphydryas_phaeton
Euphyes arpa,Hesperiidae_Hesperiinae_Hesperiini_Euphyes_arpa,Euphyes arpa,Euphyes_arpa
Euphyes dion,Hesperiidae_Hesperiinae_Hesperiini_Euphyes_dion,Euphyes dion,Euphyes_dion
Euphyes pilatka,Hesperiidae_Hesperiinae_Hesperiini_Euphyes_pilatka,Euphyes pilatka,Euphyes_pilatka
Euphyes vestris,Hesperiidae_Hesperiinae_Hesperiini_Euphyes_vestris,Euphyes vestris,Euphyes_vestris
Euptoieta claudia,Nymphalidae_Heliconiinae_Argynnini_Euptoieta_claudia,Euptoieta claudia,Euptoieta_claudia
Eurema daira,Pieridae_Coliadinae__Eurema_daira,Eurema daira,Eurema_daira
Eurema lisa,Pieridae_Coliadinae__Pyrisitia_lisa,Pyrisitia lisa,Pyrisitia_lisa
Eurema nicippe,Pieridae_Coliadinae__Abaeis_nicippe,Abaeis nicippe,Abaeis_nicippe
Eurytides marcellus,Papilionidae_Papilioninae_Leptocircini_Eurytides_marcellus,Eurytides marcellus,Eurytides_marcellus
Feniseca tarquinius,Lycaenidae_Miletinae_Spalgini_Feniseca_tarquinius,Feniseca tarquinius,Feniseca_tarquinius
Glaucopsyche lygdamus,Lycaenidae_Polyommatinae_Polyommatini_Glaucopsyche_lygdamus,Glaucopsyche lygdamus,Glaucopsyche_lygdamus
Glaucopsyche piasus,Lycaenidae_Polyommatinae_Polyommatini_Glaucopsyche_piasus,Glaucopsyche piasus,Glaucopsyche_piasus
Habrodais grunus,Lycaenidae_Theclinae_Theclini_Habrodais_grunus,Habrodais grunus,Habrodais_grunus
Heliconius charithonia,Nymphalidae_Heliconiinae_Heliconiini_Heliconius_charithonia,Heliconius charithonia,Heliconius_charithonia
Heliopetes ericetorum,Hesperiidae_Pyrginae_Pyrgini_Heliopetes_ericetorum,Heliopetes ericetorum,Heliopetes_ericetorum
Hemiargus ceraunus,NA,NA,NA
Hermeuptychia sosybius,Nymphalidae_Satyrinae_Satyrini_Hermeuptychia_sosybius,Hermeuptychia sosybius,Hermeuptychia_sosybius
Hesperia comma,Hesperiidae_Hesperiinae_Hesperiini_Hesperia_comma,Hesperia comma,Hesperia_comma
Hesperia juba,Hesperiidae_Hesperiinae_Hesperiini_Hesperia_juba,Hesperia juba,Hesperia_juba
Hylephila phyleus,Hesperiidae_Hesperiinae_Hesperiini_Hylephila_phyleus,Hylephila phyleus,Hylephila_phyleus
Junonia coenia,Nymphalidae_Nymphalinae_Kallimini_Junonia_coenia,Junonia coenia,Junonia_coenia
Junonia evarete,Nymphalidae_Nymphalinae_Kallimini_Junonia_evarete,Junonia evarete,Junonia_evarete
Leptotes cassius,Lycaenidae_Polyommatinae_Polyommatini_Leptotes_cassius,Leptotes cassius,Leptotes_cassius
Lerema accius,Hesperiidae_Hesperiinae_Moncini_Lerema_accius,Lerema accius,Lerema_accius
Lerodea eufala,Hesperiidae_Hesperiinae_Moncini_Lerodea_eufala,Lerodea eufala,Lerodea_eufala
Libytheana carinenta,Nymphalidae_Libytheinae__Prolibythea_carinenta,Prolibythea carinenta,Prolibythea_carinenta
Limenitis archippus,Nymphalidae_Limenitidinae_Limenitidini_Limenitis_archippus,Limenitis archippus,Limenitis_archippus
Limenitis arthemis,Nymphalidae_Limenitidinae_Limenitidini_Limenitis_arthemis,Limenitis arthemis,Limenitis_arthemis
Limenitis lorquini,Nymphalidae_Limenitidinae_Limenitidini_Limenitis_lorquini,Limenitis lorquini,Limenitis_lorquini
Limenitis weidemeyerii,Nymphalidae_Limenitidinae_Limenitidini_Limenitis_weidemeyerii,Limenitis weidemeyerii,Limenitis_weidemeyerii
Lycaeides melissa,Nymphalidae_Satyrinae_Satyrini_Oeneis_melissa,Oeneis melissa,Oeneis_melissa
Lycaena dione,Lycaenidae_Lycaeninae__Lycaena_dione,Lycaena dione,Lycaena_dione
Lycaena epixanthe,Lycaenidae_Lycaeninae__Lycaena_epixanthe,Lycaena epixanthe,Lycaena_epixanthe
Lycaena helloides,Lycaenidae_Lycaeninae__Lycaena_helloides,Lycaena helloides,Lycaena_helloides
Lycaena hyllus,Lycaenidae_Lycaeninae__Lycaena_hyllus,Lycaena hyllus,Lycaena_hyllus
Lycaena mariposa,Lycaenidae_Lycaeninae__Lycaena_mariposa,Lycaena mariposa,Lycaena_mariposa
Lycaena nivalis,Lycaenidae_Lycaeninae__Lycaena_nivalis,Lycaena nivalis,Lycaena_nivalis
Lycaena phlaeas,Lycaenidae_Lycaeninae__Lycaena_phlaeas,Lycaena phlaeas,Lycaena_phlaeas
Lycaena rubidus,Lycaenidae_Lycaeninae__Lycaena_rubidus,Lycaena rubidus,Lycaena_rubidus
Megisto cymela,Nymphalidae_Satyrinae_Satyrini_Megisto_cymela,Megisto cymela,Megisto_cymela
Mestra amymone,NA,NA,Mestra_dorcas
Nathalis iole,Pieridae_Coliadinae__Nathalis_iole,Nathalis iole,Nathalis_iole
Nymphalis antiopa,Nymphalidae_Nymphalinae_Nymphalini_Nymphalis_antiopa,Nymphalis antiopa,Nymphalis_antiopa
Nymphalis californica,Nymphalidae_Nymphalinae_Nymphalini_Nymphalis_californica,Nymphalis californica,Nymphalis_californica
Nymphalis milberti,Nymphalidae_Nymphalinae_Nymphalini_Aglais_milberti,Aglais milberti,Aglais_milberti
Nymphalis vaualbum,NA,NA,Nymphalis_l-album
Oarisma garita,Hesperiidae_Hesperiinae_Thymelicini_Oarisma_garita,Oarisma garita,Oarisma_garita
Ochlodes sylvanoides,Hesperiidae_Hesperiinae_Hesperiini_Ochlodes_sylvanoides,Ochlodes sylvanoides,Ochlodes_sylvanoides
Oligoria maculata,Hesperiidae_Hesperiinae_Hesperiini_Oligoria_maculata,Oligoria maculata,Oligoria_maculata
Papilio canadensis,Papilionidae_Papilioninae_Papilionini_Pterourus_canadensis,Pterourus canadensis,Pterourus_canadensis
Papilio cresphontes,Papilionidae_Papilioninae_Papilionini_Heraclides_cresphontes,Heraclides cresphontes,Heraclides_cresphontes
Papilio eurymedon,NA,NA,Pterourus_eurymedon
Papilio glaucus,Papilionidae_Papilioninae_Papilionini_Pterourus_glaucus,Pterourus glaucus,Pterourus_glaucus
Papilio indra,Papilionidae_Papilioninae_Papilionini_Papilio_indra,Papilio indra,Papilio_indra
Papilio multicaudata,NA,NA,Pterourus_multicaudata
Papilio palamedes,NA,NA,NA
Papilio polyxenes,Papilionidae_Papilioninae_Papilionini_Papilio_polyxenes,Papilio polyxenes,Papilio_polyxenes
Papilio rutulus,NA,NA,Pterourus_rutulus
Papilio troilus,Papilionidae_Papilioninae_Papilionini_Pterourus_troilus,Pterourus troilus,Pterourus_troilus
Papilio zelicaon,Papilionidae_Papilioninae_Papilionini_Papilio_zelicaon,Papilio zelicaon,Papilio_zelicaon
Parnassius clodius,Papilionidae_Parnassiinae_Parnassiini_Parnassius_clodius,Parnassius clodius,Parnassius_clodius
Parrhasius m-album,Lycaenidae_Theclinae_Eumaeini_Parrhasius_m-album,Parrhasius m-album,Parrhasius_m-album
Phoebis agarithe,Pieridae_Coliadinae__Phoebis_agarithe,Phoebis agarithe,Phoebis_agarithe
Phoebis philea,Pieridae_Coliadinae__Phoebis_philea,Phoebis philea,Phoebis_philea
Phoebis sennae,Pieridae_Coliadinae__Phoebis_sennae,Phoebis sennae,Phoebis_sennae
Pholisora catullus,Hesperiidae_Pyrginae_Carcharodini_Pholisora_catullus,Pholisora catullus,Pholisora_catullus
Phyciodes campestris,NA,NA,Phyciodes_pulchella
Phyciodes mylitta,Nymphalidae_Nymphalinae_Melitaeini_Phyciodes_mylitta,Phyciodes mylitta,Phyciodes_mylitta
Phyciodes phaon,Nymphalidae_Nymphalinae_Melitaeini_Phyciodes_phaon,Phyciodes phaon,Phyciodes_phaon
Phyciodes tharos,Nymphalidae_Nymphalinae_Melitaeini_Phyciodes_tharos,Phyciodes tharos,Phyciodes_tharos
Pieris napi,NA,NA,NA
Pieris rapae,Pieridae_Pierinae_Pierini_Pieris_rapae,Pieris rapae,Pieris_rapae
Piruna pirus,Hesperiidae_Heteropterinae__Piruna_pirus,Piruna pirus,Piruna_pirus
Plebejus acmon,NA,NA,Icaricia_acmon
Plebejus icarioides,NA,NA,Icaricia_icarioides
Plebejus lupini,NA,NA,Icaricia_lupini
Plebejus saepiolus,Lycaenidae_Polyommatinae_Polyommatini_Icaricia_saepiolus,Icaricia saepiolus,Icaricia_saepiolus
Poanes aaroni,Hesperiidae_Hesperiinae_Hesperiini_Poanes_aaroni,Poanes aaroni,Poanes_aaroni
Poanes melane,Hesperiidae_Hesperiinae_Hesperiini_Poanes_melane,Poanes melane,Poanes_melane
Poanes taxiles,Hesperiidae_Hesperiinae_Hesperiini_Poanes_taxiles,Poanes taxiles,Poanes_taxiles
Poanes viator,Hesperiidae_Hesperiinae_Hesperiini_Poanes_viator,Poanes viator,Poanes_viator
Poanes zabulon,Hesperiidae_Hesperiinae_Hesperiini_Poanes_zabulon,Poanes zabulon,Poanes_zabulon
Polites sonora,Hesperiidae_Hesperiinae_Hesperiini_Polites_sonora,Polites sonora,Polites_sonora
Polites vibex,Hesperiidae_Hesperiinae_Hesperiini_Polites_vibex,Polites vibex,Polites_vibex
Polygonia progne,Nymphalidae_Nymphalinae_Nymphalini_Polygonia_progne,Polygonia progne,Polygonia_progne
Pompeius verna,Hesperiidae_Hesperiinae_Hesperiini_Pompeius_verna,Pompeius verna,Pompeius_verna
Pontia beckerii,Pieridae_Pierinae_Pierini_Pontia_beckerii,Pontia beckerii,Pontia_beckerii
Pontia occidentalis,Pieridae_Pierinae_Pierini_Pontia_occidentalis,Pontia occidentalis,Pontia_occidentalis
Pontia protodice,Pieridae_Pierinae_Pierini_Pontia_protodice,Pontia protodice,Pontia_protodice
Problema byssus,Hesperiidae_Hesperiinae_Hesperiini_Problema_byssus,Problema byssus,Problema_byssus
Pyrgus communis,Hesperiidae_Pyrginae_Pyrgini_Pyrgus_communis,Pyrgus communis,Pyrgus_communis
Pyrgus oileus,Hesperiidae_Pyrginae_Pyrgini_Pyrgus_oileus,Pyrgus oileus,Pyrgus_oileus
Pyrgus ruralis,Hesperiidae_Pyrginae_Pyrgini_Pyrgus_ruralis,Pyrgus ruralis,Pyrgus_ruralis
Satyrium acadica,Lycaenidae_Theclinae_Eumaeini_Satyrium_acadica,Satyrium acadica,Satyrium_acadica
Satyrium behrii,Lycaenidae_Theclinae_Eumaeini_Satyrium_behrii,Satyrium behrii,Satyrium_behrii
Satyrium calanus,Lycaenidae_Theclinae_Eumaeini_Satyrium_calanus,Satyrium calanus,Satyrium_calanus
Satyrium edwardsii,NA,NA,NA
Satyrium saepium,Lycaenidae_Theclinae_Eumaeini_Satyrium_saepium,Satyrium saepium,Satyrium_saepium
Satyrium titus,Lycaenidae_Theclinae_Eumaeini_Satyrium_titus,Satyrium titus,Satyrium_titus
Satyrodes appalachia,Nymphalidae_Satyrinae_Satyrini_Lethe_appalachia,Lethe appalachia,Lethe_appalachia
Satyrodes eurydice,Nymphalidae_Satyrinae_Satyrini_Lethe_eurydice,Lethe eurydice,Lethe_eurydice
Speyeria aphrodite,NA,NA,NA
Speyeria atlantis,Nymphalidae_Heliconiinae_Argynnini_Argynnis_atlantis,Argynnis atlantis,Argynnis_atlantis
Speyeria coronis,NA,NA,NA
Speyeria cybele,Nymphalidae_Heliconiinae_Argynnini_Argynnis_cybele,Argynnis cybele,Argynnis_cybele
Speyeria diana,Nymphalidae_Heliconiinae_Argynnini_Argynnis_diana,Argynnis diana,Argynnis_diana
Speyeria idalia,Nymphalidae_Heliconiinae_Argynnini_Argynnis_idalia,Argynnis idalia,Argynnis_idalia
Staphylus hayhurstii,Hesperiidae_Pyrginae_Carcharodini_Staphylus_hayhurstii,Staphylus hayhurstii,Staphylus_hayhurstii
Strymon melinus,Lycaenidae_Theclinae_Eumaeini_Strymon_melinus,Strymon melinus,Strymon_melinus
Thorybes bathyllus,Hesperiidae_Eudaminae__Thorybes_bathyllus,Thorybes bathyllus,Thorybes_bathyllus
Thorybes pylades,Hesperiidae_Eudaminae__Thorybes_pylades,Thorybes pylades,Thorybes_pylades
Thymelicus lineola,Hesperiidae_Hesperiinae_Thymelicini_Thymelicus_lineola,Thymelicus lineola,Thymelicus_lineola
Urbanus proteus,Hesperiidae_Eudaminae__Urbanus_proteus,Urbanus proteus,Urbanus_proteus
Vanessa annabella,Nymphalidae_Nymphalinae_Nymphalini_Vanessa_annabella,Vanessa annabella,Vanessa_annabella
Vanessa atalanta,Nymphalidae_Nymphalinae_Nymphalini_Vanessa_atalanta,Vanessa atalanta,Vanessa_atalanta
Vanessa virginiensis,Nymphalidae_Nymphalinae_Nymphalini_Vanessa_virginiensis,Vanessa virginiensis,Vanessa_virginiensis
