Species,tip_label,scientificName,spp
Achalarus lyciades,Hesperiidae_Eudaminae__Achalarus_lyciades,Achalarus lyciades,Achalarus_lyciades
Adelpha bredowii,Nymphalidae_Limenitidinae_Limenitidini_Adelpha_bredowii,Adelpha bredowii,Adelpha_bredowii
Agraulis vanillae,Nymphalidae_Heliconiinae_Heliconiini_Agraulis_vanillae,Agraulis vanillae,Agraulis_vanillae
Amblyscirtes aenus,Hesperiidae_Hesperiinae_Moncini_Amblyscirtes_aenus,Amblyscirtes aenus,Amblyscirtes_aenus
Amblyscirtes aesculapius,Hesperiidae_Hesperiinae_Moncini_Amblyscirtes_aesculapius,Amblyscirtes aesculapius,Amblyscirtes_aesculapius
Amblyscirtes celia,Hesperiidae_Hesperiinae_Moncini_Amblyscirtes_celia,Amblyscirtes celia,Amblyscirtes_celia
Amblyscirtes vialis,Hesperiidae_Hesperiinae_Moncini_Amblyscirtes_vialis,Amblyscirtes vialis,Amblyscirtes_vialis
Anaea andria,Nymphalidae_Charaxinae_Anaeini_Anaea_andria,Anaea andria,Anaea_andria
Anatrytone logan,Hesperiidae_Hesperiinae_Hesperiini_Anatrytone_logan,Anatrytone logan,Anatrytone_logan
Ancyloxypha numitor,Hesperiidae_Hesperiinae_Thymelicini_Ancyloxypha_numitor,Ancyloxypha numitor,Ancyloxypha_numitor
Anthocharis sara,Pieridae_Pierinae_Anthocharidini_Anthocharis_sara,Anthocharis sara,Anthocharis_sara
Ascia monuste,Pieridae_Pierinae_Pierini_Ascia_monuste,Ascia monuste,Ascia_monuste
Asterocampa clyton,Nymphalidae_Apaturinae__Asterocampa_clyton,Asterocampa clyton,Asterocampa_clyton
Atalopedes campestris,Hesperiidae_Hesperiinae_Hesperiini_Atalopedes_campestris,Atalopedes campestris,Atalopedes_campestris
Atlides halesus,Lycaenidae_Theclinae_Eumaeini_Atlides_halesus,Atlides halesus,Atlides_halesus
Autochton cellus,Hesperiidae_Eudaminae__Autochton_cellus,Autochton cellus,Autochton_cellus
Battus philenor,Papilionidae_Papilioninae_Troidini_Battus_philenor,Battus philenor,Battus_philenor
Battus polydamas,Papilionidae_Papilioninae_Troidini_Battus_polydamas,Battus polydamas,Battus_polydamas
Boloria bellona,Nymphalidae_Heliconiinae_Argynnini_Boloria_bellona,Boloria bellona,Boloria_bellona
Boloria epithore,Nymphalidae_Heliconiinae_Argynnini_Boloria_epithore,Boloria epithore,Boloria_epithore
Boloria selene,Nymphalidae_Heliconiinae_Argynnini_Boloria_selene,Boloria selene,Boloria_selene
Brephidium isophthalma,NA,NA,NA
Calephelis borealis,Riodinidae_Riodininae_Riodinini_Calephelis_borealis,Calephelis borealis,Calephelis_borealis
Calephelis virginiensis,Riodinidae_Riodininae_Riodinini_Calephelis_virginiensis,Calephelis virginiensis,Calephelis_virginiensis
Callophrys augustinus,Lycaenidae_Theclinae_Eumaeini_Callophrys_augustinus,Callophrys augustinus,Callophrys_augustinus
Callophrys gryneus,Lycaenidae_Theclinae_Eumaeini_Callophrys_gryneus,Callophrys gryneus,Callophrys_gryneus
Callophrys sheridanii,Lycaenidae_Theclinae_Eumaeini_Callophrys_sheridanii,Callophrys sheridanii,Callophrys_sheridanii
Callophrys spinetorum,Lycaenidae_Theclinae_Eumaeini_Callophrys_spinetorum,Callophrys spinetorum,Callophrys_spinetorum
Calpodes ethlius,Hesperiidae_Hesperiinae_Carystini_Calpodes_ethlius,Calpodes ethlius,Calpodes_ethlius
Calycopis cecrops,Lycaenidae_Theclinae_Eumaeini_Calycopis_cecrops,Calycopis cecrops,Calycopis_cecrops
Carterocephalus palaemon,Hesperiidae_Heteropterinae__Carterocephalus_palaemon,Carterocephalus palaemon,Carterocephalus_palaemon
Celastrina ladon,Lycaenidae_Polyommatinae_Polyommatini_Celastrina_ladon,Celastrina ladon,Celastrina_ladon
Cercyonis oetus,Nymphalidae_Satyrinae_Satyrini_Cercyonis_oetus,Cercyonis oetus,Cercyonis_oetus
Cercyonis pegala,Nymphalidae_Satyrinae_Satyrini_Cercyonis_pegala,Cercyonis pegala,Cercyonis_pegala
Cercyonis sthenele,Nymphalidae_Satyrinae_Satyrini_Cercyonis_sthenele,Cercyonis sthenele,Cercyonis_sthenele
Chlosyne gorgone,Nymphalidae_Nymphalinae_Melitaeini_Chlosyne_gorgone,Chlosyne gorgone,Chlosyne_gorgone
Chlosyne harrisii,Nymphalidae_Nymphalinae_Melitaeini_Chlosyne_harrisii,Chlosyne harrisii,Chlosyne_harrisii
Chlosyne hoffmanni,Nymphalidae_Nymphalinae_Melitaeini_Chlosyne_hoffmanni,Chlosyne hoffmanni,Chlosyne_hoffmanni
Chlosyne lacinia,Nymphalidae_Nymphalinae_Melitaeini_Chlosyne_lacinia,Chlosyne lacinia,Chlosyne_lacinia
Chlosyne nycteis,Nymphalidae_Nymphalinae_Melitaeini_Chlosyne_nycteis,Chlosyne nycteis,Chlosyne_nycteis
Chlosyne palla,Nymphalidae_Nymphalinae_Melitaeini_Chlosyne_palla,Chlosyne palla,Chlosyne_palla
Coenonympha tullia,Nymphalidae_Satyrinae_Satyrini_Coenonympha_tullia,Coenonympha tullia,Coenonympha_tullia
Colias alexandra,Pieridae_Coliadinae__Colias_alexandra,Colias alexandra,Colias_alexandra
Colias eurytheme,Pieridae_Coliadinae__Colias_eurytheme,Colias eurytheme,Colias_eurytheme
Colias interior,Pieridae_Coliadinae__Colias_interior,Colias interior,Colias_interior
Colias philodice,Pieridae_Coliadinae__Colias_philodice,Colias philodice,Colias_philodice
Copaeodes minimus,NA,NA,NA
Cyllopsis gemma,Nymphalidae_Satyrinae_Satyrini_Cyllopsis_gemma,Cyllopsis gemma,Cyllopsis_gemma
Danaus eresimus,Nymphalidae_Danainae_Danaini_Danaus_eresimus,Danaus eresimus,Danaus_eresimus
Danaus gilippus,Nymphalidae_Danainae_Danaini_Danaus_gilippus,Danaus gilippus,Danaus_gilippus
Danaus plexippus,Nymphalidae_Danainae_Danaini_Danaus_plexippus,Danaus plexippus,Danaus_plexippus
Enodia anthedon,Nymphalidae_Satyrinae_Satyrini_Lethe_anthedon,Lethe anthedon,Lethe_anthedon
Enodia creola,Nymphalidae_Satyrinae_Satyrini_Lethe_creola,Lethe creola,Lethe_creola
Enodia portlandia,Nymphalidae_Satyrinae_Satyrini_Lethe_portlandia,Lethe portlandia,Lethe_portlandia
Erebia epipsodea,Nymphalidae_Satyrinae_Satyrini_Erebia_epipsodea,Erebia epipsodea,Erebia_epipsodea
Erynnis baptisiae,Hesperiidae_Pyrginae_Erynnini_Erynnis_baptisiae,Erynnis baptisiae,Erynnis_baptisiae
Erynnis funeralis,Hesperiidae_Pyrginae_Erynnini_Erynnis_funeralis,Erynnis funeralis,Erynnis_funeralis
Erynnis horatius,Hesperiidae_Pyrginae_Erynnini_Erynnis_horatius,Erynnis horatius,Erynnis_horatius
Erynnis juvenalis,Hesperiidae_Pyrginae_Erynnini_Erynnis_juvenalis,Erynnis juvenalis,Erynnis_juvenalis
Erynnis lucilius,Hesperiidae_Pyrginae_Erynnini_Erynnis_lucilius,Erynnis lucilius,Erynnis_lucilius
Erynnis martialis,Hesperiidae_Pyrginae_Erynnini_Erynnis_martialis,Erynnis martialis,Erynnis_martialis
Erynnis pacuvius,Hesperiidae_Pyrginae_Erynnini_Erynnis_pacuvius,Erynnis pacuvius,Erynnis_pacuvius
Erynnis persius,Hesperiidae_Pyrginae_Erynnini_Erynnis_persius,Erynnis persius,Erynnis_persius
Erynnis tristis,Hesperiidae_Pyrginae_Erynnini_Erynnis_tristis,Erynnis tristis,Erynnis_tristis
Erynnis zarucco,Hesperiidae_Pyrginae_Erynnini_Erynnis_zarucco,Erynnis zarucco,Erynnis_zarucco
Euchloe ausonides,Pieridae_Pierinae_Anthocharidini_Euchloe_ausonides,Euchloe ausonides,Euchloe_ausonides
Euphilotes battoides,Lycaenidae_Polyommatinae_Polyommatini_Euphilotes_battoides,Euphilotes battoides,Euphilotes_battoides
