tip_label,scientificName,spp,validName
Hesperiidae_Pyrginae_Pyrgini_Pyrgus_communis,Pyrgus communis,Pyrgus_communis,Pyrgus communis
Hesperiidae_Pyrginae_Pyrgini_Pyrgus_scriptura,Pyrgus scriptura,Pyrgus_scriptura,Pyrgus scriptura
Hesperiidae_Pyrginae_Pyrgini_Pyrgus_ruralis,Pyrgus ruralis,Pyrgus_ruralis,Pyrgus ruralis
Hesperiidae_Pyrginae_Pyrgini_Pyrgus_centaureae,Pyrgus centaureae,Pyrgus_centaureae,Pyrgus centaureae
Hesperiidae_Pyrginae_Pyrgini_Antigonus_nearchus,Antigonus nearchus,Antigonus_nearchus,Antigonus nearchus
Hesperiidae_Pyrginae_Pyrgini_Antigonus_emorsa,Antigonus emorsa,Antigonus_emorsa,Antigonus emorsa
Hesperiidae_Pyrginae_Pyrgini_Antigonus_erosus,Antigonus erosus,Antigonus_erosus,Antigonus erosus
Hesperiidae_Pyrginae_Pyrgini_Zopyrion_sandace,Zopyrion sandace,Zopyrion_sandace,Zopyrion sandace
Hesperiidae_Pyrginae_Pyrgini_Systasea_pulverulenta,Systasea pulverulenta,Systasea_pulverulenta,Systasea pulverulenta
Hesperiidae_Pyrginae_Pyrgini_Systasea_zampa,Systasea zampa,Systasea_zampa,Systasea zampa
Hesperiidae_Pyrginae_Pyrgini_Carrhenes_canescens,Carrhenes canescens,Carrhenes_canescens,Carrhenes canescens
Hesperiidae_Pyrginae_Pyrgini_Xenophanes_tryxus,Xenophanes tryxus,Xenophanes_tryxus,Xenophanes tryxus
Hesperiidae_Pyrginae_Pyrgini_Paches_loxus,Paches loxus,Paches_loxus,Paches loxus
Hesperiidae_Pyrginae_Pyrgini_Paches_polla,Paches polla,Paches_polla,Paches polla
Hesperiidae_Pyrginae_Pyrgini_Carrhenes_calidius,Carrhenes calidius,Carrhenes_calidius,Carrhenes calidius
Hesperiidae_Pyrginae_Pyrgini_Carrhenes_fuscescens,Carrhenes fuscescens,Carrhenes_fuscescens,Carrhenes fuscescens
Hesperiidae_Pyrginae_Pyrrhopygini_Melanopyge_erythrosticta,Melanopyge erythrosticta,Melanopyge_erythrosticta,Melanopyge erythrosticta
Hesperiidae_Pyrginae_Pyrrhopygini_Apyrrothrix_araxes,Apyrrothrix araxes,Apyrrothrix_araxes,Apyrrothrix araxes
Hesperiidae_Pyrginae_Pyrrhopygini_Jemadia_pseudognetus,Jemadia pseudognetus,Jemadia_pseudognetus,Jemadia pseudognetus
Hesperiidae_Pyrginae_Pyrrhopygini_Amysoria_galgala,Amysoria galgala,Amysoria_galgala,Amysoria galgala
Hesperiidae_Pyrginae_Pyrrhopygini_Mysoria_amra,Mysoria amra,Mysoria_amra,Mysoria amra
Hesperiidae_Pyrginae_Pyrrhopygini_Mysoria_affinis,Mysoria affinis,Mysoria_affinis,Mysoria affinis
Hesperiidae_Pyrginae_Pyrrhopygini_Pyrrhopyge_crida,Pyrrhopyge crida,Pyrrhopyge_crida,Pyrrhopyge crida
Hesperiidae_Pyrginae_Pyrrhopygini_Elbella_patrobas,Elbella patrobas,Elbella_patrobas,Elbella patrobas
Hesperiidae_Pyrginae_Pyrrhopygini_Elbella_scylla,Elbella scylla,Elbella_scylla,Elbella scylla
Hesperiidae_Pyrginae_Pyrrhopygini_Parelbella_macleannani,Parelbella macleannani,Parelbella_macleannani,Parelbella macleannani
Hesperiidae_Pyrginae_Pyrrhopygini_Myscelus_amystis,Myscelus amystis,Myscelus_amystis,Myscelus amystis
Hesperiidae_Pyrginae_Pyrrhopygini_Myscelus_assaricus,Myscelus assaricus,Myscelus_assaricus,Myscelus assaricus
Hesperiidae_Pyrginae_Pyrrhopygini_Myscelus_perissodora,Myscelus perissodora,Myscelus_perissodora,Myscelus perissodora
Hesperiidae_Pyrginae_Pyrrhopygini_Myscelus_belti,Myscelus belti,Myscelus_belti,Myscelus belti
Hesperiidae_Pyrginae_Celaenorrhinini_Celaenorrhinus_stola,Celaenorrhinus stola,Celaenorrhinus_stola,Celaenorrhinus stola
Hesperiidae_Pyrginae_Celaenorrhinini_Celaenorrhinus_monartus,Celaenorrhinus monartus,Celaenorrhinus_monartus,Celaenorrhinus monartus
Hesperiidae_Pyrginae_Celaenorrhinini_Celaenorrhinus_stallingsi,Celaenorrhinus stallingsi,Celaenorrhinus_stallingsi,Celaenorrhinus stallingsi
Hesperiidae_Pyrginae_Celaenorrhinini_Celaenorrhinus_eligius,Celaenorrhinus eligius,Celaenorrhinus_eligius,Celaenorrhinus eligius
Hesperiidae_Pyrginae_Celaenorrhinini_Celaenorrhinus_fritzgaertneri,Celaenorrhinus fritzgaertneri,Celaenorrhinus_fritzgaertneri,Celaenorrhinus fritzgaertneri
Hesperiidae_Hesperiinae_Carystini_Damas_clavus,Damas clavus,Damas_clavus,Damas clavus
Hesperiidae_Hesperiinae_Carystini_Ebusus_ebusus,Ebusus ebusus,Ebusus_ebusus,Ebusus ebusus
Hesperiidae_Hesperiinae_Carystini_Lychnuchoides_saptine,Lychnuchoides saptine,Lychnuchoides_saptine,Lychnuchoides saptine
Hesperiidae_Hesperiinae__Orses_cynisca,Orses cynisca,Orses_cynisca,Orses cynisca
Hesperiidae_Hesperiinae__Perichares_lotus,Perichares lotus,Perichares_lotus,Perichares lotus
Hesperiidae_Hesperiinae__Perichares_philetes,Perichares philetes,Perichares_philetes,Perichares philetes
Hesperiidae_Hesperiinae__Lycas_argentea,Lycas argentea,Lycas_argentea,Lycas argentea
Hesperiidae_Hesperiinae__Agathymus_micheneri,Agathymus micheneri,Agathymus_micheneri,Agathymus micheneri
Hesperiidae_Hesperiinae__Agathymus_mariae,Agathymus mariae,Agathymus_mariae,Agathymus mariae
Hesperiidae_Hesperiinae__Agathymus_dawsoni,Agathymus dawsoni,Agathymus_dawsoni,Agathymus dawsoni
Hesperiidae_Hesperiinae__Agathymus_stephensi,Agathymus stephensi,Agathymus_stephensi,Agathymus stephensi
Hesperiidae_Hesperiinae__Agathymus_polingi,Agathymus polingi,Agathymus_polingi,Agathymus polingi
Hesperiidae_Hesperiinae__Agathymus_aryxna,Agathymus aryxna,Agathymus_aryxna,Agathymus aryxna
Hesperiidae_Hesperiinae__Agathymus_alliae,Agathymus alliae,Agathymus_alliae,Agathymus alliae
Hesperiidae_Hesperiinae__Agathymus_evansi,Agathymus evansi,Agathymus_evansi,Agathymus evansi
Hesperiidae_Hesperiinae__Megathymus_streckeri,Megathymus streckeri,Megathymus_streckeri,Megathymus streckeri
Hesperiidae_Hesperiinae__Megathymus_cofaqui,Megathymus cofaqui,Megathymus_cofaqui,Megathymus cofaqui
Hesperiidae_Hesperiinae__Stallingsia_maculosus,Stallingsia maculosus,Stallingsia_maculosus,Stallingsia maculosus
Hesperiidae_Hesperiinae__Megathymus_ursus,Megathymus ursus,Megathymus_ursus,Megathymus ursus
Hesperiidae_Hesperiinae__Megathymus_beulahae,Megathymus beulahae,Megathymus_beulahae,Megathymus beulahae
Hesperiidae_Hesperiinae__Megathymus_yuccae,Megathymus yuccae,Megathymus_yuccae,Megathymus yuccae
Hesperiidae_Hesperiinae_Moncini_Eutocus_facilis,Eutocus facilis,Eutocus_facilis,Eutocus facilis
Hesperiidae_Hesperiinae_Carystini_Carystoides_hondura,Carystoides hondura,Carystoides_hondura,Carystoides hondura
Hesperiidae_Hesperiinae_Carystini_Carystoides_basoches,Carystoides basoches,Carystoides_basoches,Carystoides basoches
Hesperiidae_Hesperiinae_Carystini_Carystoides_escalantei,Carystoides escalantei,Carystoides_escalantei,Carystoides escalantei
Hesperiidae_Hesperiinae_Moncini_Vertica_verticalis,Vertica verticalis,Vertica_verticalis,Vertica verticalis
Hesperiidae_Hesperiinae_Hesperiini_Atrytone_arogos,Atrytone arogos,Atrytone_arogos,Atrytone arogos
Hesperiidae_Hesperiinae_Hesperiini_Problema_byssus,Problema byssus,Problema_byssus,Problema byssus
Hesperiidae_Hesperiinae_Hesperiini_Problema_bulenta,Problema bulenta,Problema_bulenta,Problema bulenta
Hesperiidae_Hesperiinae_Hesperiini_Euphyes_canda,Euphyes canda,Euphyes_canda,Euphyes canda
Hesperiidae_Hesperiinae_Hesperiini_Euphyes_peneia,Euphyes peneia,Euphyes_peneia,Euphyes peneia
Hesperiidae_Hesperiinae_Hesperiini_Euphyes_berryi,Euphyes berryi,Euphyes_berryi,Euphyes berryi
Hesperiidae_Hesperiinae_Hesperiini_Euphyes_bayensis,Euphyes bayensis,Euphyes_bayensis,Euphyes bayensis
Hesperiidae_Hesperiinae_Hesperiini_Euphyes_dion,Euphyes dion,Euphyes_dion,Euphyes dion
Hesperiidae_Hesperiinae_Hesperiini_Euphyes_pilatka,Euphyes pilatka,Euphyes_pilatka,Euphyes pilatka
Hesperiidae_Hesperiinae_Hesperiini_Euphyes_dukesi,Euphyes dukesi,Euphyes_dukesi,Euphyes dukesi
Hesperiidae_Hesperiinae_Moncini_Nastra_neamathla,Nastra neamathla,Nastra_neamathla,Nastra neamathla
Hesperiidae_Hesperiinae_Hesperiini_Euphyes_vestris,Euphyes vestris,Euphyes_vestris,Euphyes vestris
Hesperiidae_Hesperiinae_Hesperiini_Euphyes_bimacula,Euphyes bimacula,Euphyes_bimacula,Euphyes bimacula
Hesperiidae_Hesperiinae_Hesperiini_Euphyes_arpa,Euphyes arpa,Euphyes_arpa,Euphyes arpa
Hesperiidae_Hesperiinae_Hesperiini_Librita_librita,Librita librita,Librita_librita,Librita librita
Hesperiidae_Hesperiinae_Hesperiini_Anatrytone_mella,Anatrytone mella,Anatrytone_mella,Anatrytone mella
Hesperiidae_Hesperiinae_Hesperiini_Anatrytone_logan,Anatrytone logan,Anatrytone_logan,Atrytone logan
Hesperiidae_Hesperiinae_Hesperiini_Decinea_decinea,Decinea decinea,Decinea_decinea,Decinea decinea
Hesperiidae_Hesperiinae_Moncini_Zariaspes_mys,Zariaspes mys,Zariaspes_mys,Zariaspes mys
Hesperiidae_Hesperiinae_Hesperiini_Quasimellana_nayana,Quasimellana nayana,Quasimellana_nayana,Quasimellana nayana
Hesperiidae_Hesperiinae_Hesperiini_Quasimellana_eulogius,Quasimellana eulogius,Quasimellana_eulogius,Quasimellana eulogius
Hesperiidae_Hesperiinae_Hesperiini_Quasimellana_aurora,Quasimellana aurora,Quasimellana_aurora,Quasimellana aurora
Hesperiidae_Hesperiinae_Hesperiini_Quasimellana_servilius,Quasimellana servilius,Quasimellana_servilius,Quasimellana servilius
Hesperiidae_Hesperiinae_Hesperiini_Quasimellana_myron,Quasimellana myron,Quasimellana_myron,Quasimellana myron
Hesperiidae_Hesperiinae_Hesperiini_Metron_zimra,Metron zimra,Metron_zimra,Metron zimra
Hesperiidae_Hesperiinae_Hesperiini_Metron_chrysogastra,Metron chrysogastra,Metron_chrysogastra,Metron chrysogastra
Hesperiidae_Hesperiinae_Hesperiini_Oxynthes_corusca,Oxynthes corusca,Oxynthes_corusca,Oxynthes corusca
Hesperiidae_Hesperiinae_Hesperiini_Pompeius_verna,Pompeius verna,Pompeius_verna,Pompeius verna
Hesperiidae_Hesperiinae_Moncini_Amblyscirtes_simius,Amblyscirtes simius,Amblyscirtes_simius,Amblyscirtes simius
Hesperiidae_Hesperiinae_Hesperiini_Thespieus_dalman,Thespieus dalman,Thespieus_dalman,Thespieus dalman
Hesperiidae_Hesperiinae_Hesperiini_Thespieus_aspernatus,Thespieus aspernatus,Thespieus_aspernatus,Thespieus aspernatus
Hesperiidae_Hesperiinae_Hesperiini_Thespieus_macareus,Thespieus macareus,Thespieus_macareus,Thespieus macareus
Hesperiidae_Hesperiinae_Hesperiini_Decinea_rindgei,Decinea rindgei,Decinea_rindgei,Decinea rindgei
Hesperiidae_Hesperiinae_Hesperiini_Decinea_percosius,Decinea percosius,Decinea_percosius,Decinea percosius
Hesperiidae_Hesperiinae_Hesperiini_Oligoria_maculata,Oligoria maculata,Oligoria_maculata,Oligoria maculata
Hesperiidae_Hesperiinae_Hesperiini_Vacerra_egla,Vacerra egla,Vacerra_egla,Vacerra egla
Hesperiidae_Hesperiinae_Hesperiini_Xeniades_chalestra,Xeniades chalestra,Xeniades_chalestra,Xeniades chalestra
Hesperiidae_Hesperiinae_Hesperiini_Xeniades_orchamus,Xeniades orchamus,Xeniades_orchamus,Xeniades orchamus
Hesperiidae_Hesperiinae_Hesperiini_Paratrytone_snowi,Paratrytone snowi,Paratrytone_snowi,Paratrytone snowi
Hesperiidae_Hesperiinae_Hesperiini_Phemiades_milvius,Phemiades milvius,Phemiades_milvius,Phemiades milvius
Hesperiidae_Hesperiinae_Hesperiini_Poanes_inimica,Poanes inimica,Poanes_inimica,Poanes inimica
Hesperiidae_Hesperiinae_Hesperiini_Poanes_taxiles,Poanes taxiles,Poanes_taxiles,Poanes taxiles
Hesperiidae_Hesperiinae_Hesperiini_Poanes_melane,Poanes melane,Poanes_melane,Poanes melane
