tip_label,scientificName,spp,validName
Hesperiidae_Pyrginae_Carcharodini_Cyclosemia_anastomosis,Cyclosemia anastomosis,Cyclosemia_anastomosis,Cyclosemia anastomosis
Hesperiidae_Pyrginae_Carcharodini_Pholisora_mejicanus,Pholisora mejicanus,Pholisora_mejicanus,Pholisora mejicanus
Hesperiidae_Pyrginae_Carcharodini_Pholisora_catullus,Pholisora catullus,Pholisora_catullus,Pholisora catullus
Hesperiidae_Pyrginae_Carcharodini_Bolla_cupreiceps,Bolla cupreiceps,Bolla_cupreiceps,Bolla cupreiceps
Hesperiidae_Pyrginae_Carcharodini_Bolla_imbras,Bolla imbras,Bolla_imbras,Bolla imbras
Hesperiidae_Pyrginae_Carcharodini_Staphylus_azteca,Staphylus azteca,Staphylus_azteca,Staphylus azteca
Hesperiidae_Pyrginae_Carcharodini_Staphylus_vulgata,Staphylus vulgata,Staphylus_vulgata,Staphylus vulgata
Hesperiidae_Pyrginae_Carcharodini_Staphylus_ascalaphus,Staphylus ascalaphus,Staphylus_ascalaphus,Staphylus ascalaphus
Hesperiidae_Pyrginae_Carcharodini_Staphylus_lenis,Staphylus lenis,Staphylus_lenis,Staphylus lenis
Hesperiidae_Pyrginae_Carcharodini_Staphylus_hayhurstii,Staphylus hayhurstii,Staphylus_hayhurstii,Staphylus hayhurstii
Hesperiidae_Pyrginae_Carcharodini_Staphylus_ceos,Staphylus ceos,Staphylus_ceos,Staphylus ceos
Hesperiidae_Pyrginae_Carcharodini_Staphylus_vincula,Staphylus vincula,Staphylus_vincula,Staphylus vincula
Hesperiidae_Pyrginae_Carcharodini_Hesperopsis_libya,Hesperopsis libya,Hesperopsis_libya,Hesperopsis libya
Hesperiidae_Pyrginae_Carcharodini_Hesperopsis_gracielae,Hesperopsis gracielae,Hesperopsis_gracielae,Hesperopsis gracielae
Hesperiidae_Pyrginae_Carcharodini_Hesperopsis_alpheus,Hesperopsis alpheus,Hesperopsis_alpheus,Hesperopsis alpheus
Hesperiidae_Pyrginae_Carcharodini_Bolla_cyclops,Bolla cyclops,Bolla_cyclops,Bolla cyclops
Hesperiidae_Pyrginae_Carcharodini_Bolla_zorilla,Bolla zorilla,Bolla_zorilla,Bolla zorilla
Hesperiidae_Pyrginae_Carcharodini_Bolla_evippe,Bolla evippe,Bolla_evippe,Bolla evippe
Hesperiidae_Pyrginae_Carcharodini_Bolla_orsines,Bolla orsines,Bolla_orsines,Bolla orsines
Hesperiidae_Pyrginae_Carcharodini_Bolla_eusebius,Bolla eusebius,Bolla_eusebius,Bolla eusebius
Hesperiidae_Pyrginae_Carcharodini_Bolla_saletas,Bolla saletas,Bolla_saletas,Bolla saletas
Hesperiidae_Pyrginae_Carcharodini_Pachyneuria_licisca,Pachyneuria licisca,Pachyneuria_licisca,Pachyneuria licisca
Hesperiidae_Pyrginae_Carcharodini_Mictris_crispus,Mictris crispus,Mictris_crispus,Mictris crispus
Hesperiidae_Pyrginae_Carcharodini_Pellicia_arina,Pellicia arina,Pellicia_arina,Pellicia arina
Hesperiidae_Pyrginae_Carcharodini_Polyctor_enops,Polyctor enops,Polyctor_enops,Polyctor enops
Hesperiidae_Pyrginae_Carcharodini_Polyctor_cleta,Polyctor cleta,Polyctor_cleta,Polyctor cleta
Hesperiidae_Pyrginae_Carcharodini_Polyctor_polyctor,Polyctor polyctor,Polyctor_polyctor,Polyctor polyctor
Hesperiidae_Pyrginae_Carcharodini_Pellicia_dimidiata,Pellicia dimidiata,Pellicia_dimidiata,Pellicia dimidiata
Hesperiidae_Pyrginae_Carcharodini_Nisoniades_castolus,Nisoniades castolus,Nisoniades_castolus,Nisoniades castolus
Hesperiidae_Pyrginae_Carcharodini_Nisoniades_godma,Nisoniades godma,Nisoniades_godma,Nisoniades godma
Hesperiidae_Pyrginae_Carcharodini_Nisoniades_rubescens,Nisoniades rubescens,Nisoniades_rubescens,Nisoniades rubescens
Hesperiidae_Pyrginae_Carcharodini_Arteurotia_tractipennis,Arteurotia tractipennis,Arteurotia_tractipennis,Arteurotia tractipennis
Hesperiidae_Pyrginae_Carcharodini_Bolla_clytius,Bolla clytius,Bolla_clytius,Bolla clytius
Hesperiidae_Pyrginae_Carcharodini_Noctuana_lactifera,Noctuana lactifera,Noctuana_lactifera,Noctuana lactifera
Hesperiidae_Pyrginae_Carcharodini_Noctuana_stator,Noctuana stator,Noctuana_stator,Noctuana stator
Hesperiidae_Pyrginae_Achlyodini_Zera_hyacinthinus,Zera hyacinthinus,Zera_hyacinthinus,Zera hyacinthinus
Hesperiidae_Pyrginae_Achlyodini_Zera_tetrastigma,Zera tetrastigma,Zera_tetrastigma,Zera tetrastigma
Hesperiidae_Pyrginae_Achlyodini_Zera_nolckeni,Zera nolckeni,Zera_nolckeni,Zera nolckeni
Hesperiidae_Pyrginae_Achlyodini_Ouleus_fridericus,Ouleus fridericus,Ouleus_fridericus,Ouleus fridericus
Hesperiidae_Pyrginae_Achlyodini_Zera_eboneus,Zera eboneus,Zera_eboneus,Zera eboneus
Hesperiidae_Pyrginae_Achlyodini_Pythonides_grandis,Pythonides grandis,Pythonides_grandis,Pythonides grandis
Hesperiidae_Pyrginae_Achlyodini_Quadrus_contubernalis,Quadrus contubernalis,Quadrus_contubernalis,Quadrus contubernalis
Hesperiidae_Pyrginae_Achlyodini_Quadrus_lugubris,Quadrus lugubris,Quadrus_lugubris,Quadrus lugubris
Hesperiidae_Pyrginae_Achlyodini_Quadrus_cerialis,Quadrus cerialis,Quadrus_cerialis,Quadrus cerialis
Hesperiidae_Pyrginae_Achlyodini_Pythonides_proxenus,Pythonides proxenus,Pythonides_proxenus,Pythonides proxenus
Hesperiidae_Pyrginae_Achlyodini_Gindanes_brontinus,Gindanes brontinus,Gindanes_brontinus,Gindanes brontinus
Hesperiidae_Pyrginae_Achlyodini_Pythonides_pteras,Pythonides pteras,Pythonides_pteras,Pythonides pteras
Hesperiidae_Pyrginae_Achlyodini_Ouleus_cyrna,Ouleus cyrna,Ouleus_cyrna,Ouleus cyrna
Hesperiidae_Pyrginae_Achlyodini_Quadrus_francesius,Quadrus francesius,Quadrus_francesius,Quadrus francesius
Hesperiidae_Pyrginae_Achlyodini_Pythonides_jovianus,Pythonides jovianus,Pythonides_jovianus,Pythonides jovianus
Hesperiidae_Pyrginae_Achlyodini_Eburuncus_unifasciata,Eburuncus unifasciata,Eburuncus_unifasciata,Eburuncus unifasciata
Hesperiidae_Pyrginae_Achlyodini_Atarnes_sallei,Atarnes sallei,Atarnes_sallei,Atarnes sallei
Hesperiidae_Pyrginae_Erynnini_Grais_stigmaticus,Grais stigmaticus,Grais_stigmaticus,Grais stigmaticus
Hesperiidae_Pyrginae_Carcharodini_Mimia_chiapaensis,Mimia chiapaensis,Mimia_chiapaensis,Mimia chiapaensis
Hesperiidae_Pyrginae_Achlyodini_Doberes_anticus,Doberes anticus,Doberes_anticus,Doberes anticus
Hesperiidae_Pyrginae_Achlyodini_Achlyodes_busirus,Achlyodes busirus,Achlyodes_busirus,Achlyodes busirus
Hesperiidae_Pyrginae_Achlyodini_Aethilla_echina,Aethilla echina,Aethilla_echina,Aethilla echina
Hesperiidae_Pyrginae_Achlyodini_Aethilla_lavochrea,Aethilla lavochrea,Aethilla_lavochrea,Aethilla lavochrea
Hesperiidae_Pyrginae_Achlyodini_Eantis_mithridates,Eantis mithridates,Eantis_mithridates,Eantis mithridates
Hesperiidae_Pyrginae_Achlyodini_Achlyodes_pallida,Achlyodes pallida,Achlyodes_pallida,Achlyodes pallida
Hesperiidae_Pyrginae_Pyrgini_Anisochoria_bacchus,Anisochoria bacchus,Anisochoria_bacchus,Anisochoria bacchus
Hesperiidae_Pyrginae_Erynnini_Erynnis_brizo,Erynnis brizo,Erynnis_brizo,Erynnis brizo
Hesperiidae_Pyrginae_Erynnini_Erynnis_icelus,Erynnis icelus,Erynnis_icelus,Erynnis icelus
Hesperiidae_Pyrginae_Erynnini_Gesta_gesta,Gesta gesta,Gesta_gesta,Gesta gesta
Hesperiidae_Pyrginae_Erynnini_Gesta_invisus,Gesta invisus,Gesta_invisus,Gesta invisus
Hesperiidae_Pyrginae_Erynnini_Erynnis_martialis,Erynnis martialis,Erynnis_martialis,Erynnis martialis
Hesperiidae_Pyrginae_Erynnini_Erynnis_funeralis,Erynnis funeralis,Erynnis_funeralis,Erynnis funeralis
Hesperiidae_Pyrginae_Erynnini_Erynnis_zarucco,Erynnis zarucco,Erynnis_zarucco,Erynnis zarucco
Hesperiidae_Pyrginae_Erynnini_Erynnis_pacuvius,Erynnis pacuvius,Erynnis_pacuvius,Erynnis pacuvius
Hesperiidae_Pyrginae_Erynnini_Erynnis_scudderi,Erynnis scudderi,Erynnis_scudderi,Erynnis scudderi
Hesperiidae_Pyrginae_Erynnini_Erynnis_persius,Erynnis persius,Erynnis_persius,Erynnis persius
Hesperiidae_Pyrginae_Erynnini_Erynnis_baptisiae,Erynnis baptisiae,Erynnis_baptisiae,Erynnis baptisiae
Hesperiidae_Pyrginae_Erynnini_Erynnis_lucilius,Erynnis lucilius,Erynnis_lucilius,Erynnis lucilius
Hesperiidae_Pyrginae_Erynnini_Erynnis_afranius,Erynnis afranius,Erynnis_afranius,Erynnis afranius
Hesperiidae_Pyrginae_Erynnini_Erynnis_telemachus,Erynnis telemachus,Erynnis_telemachus,Erynnis telemachus
Hesperiidae_Pyrginae_Erynnini_Erynnis_tristis,Erynnis tristis,Erynnis_tristis,Erynnis tristis
Hesperiidae_Pyrginae_Erynnini_Erynnis_horatius,Erynnis horatius,Erynnis_horatius,Erynnis horatius
Hesperiidae_Pyrginae_Erynnini_Erynnis_meridianus,Erynnis meridianus,Erynnis_meridianus,Erynnis meridianus
Hesperiidae_Pyrginae_Erynnini_Erynnis_propertius,Erynnis propertius,Erynnis_propertius,Erynnis propertius
Hesperiidae_Pyrginae_Erynnini_Erynnis_juvenalis,Erynnis juvenalis,Erynnis_juvenalis,Erynnis juvenalis
Hesperiidae_Pyrginae_Pyrgini_Pyrgus_xanthus,Pyrgus xanthus,Pyrgus_xanthus,Pyrgus xanthus
Hesperiidae_Pyrginae_Erynnini_Chiomara_mithrax,Chiomara mithrax,Chiomara_mithrax,Chiomara mithrax
Hesperiidae_Pyrginae_Erynnini_Camptopleura_theramenes,Camptopleura theramenes,Camptopleura_theramenes,Camptopleura theramenes
Hesperiidae_Pyrginae_Erynnini_Camptopleura_auxo,Camptopleura auxo,Camptopleura_auxo,Camptopleura auxo
Hesperiidae_Pyrginae_Erynnini_Helias_cama,Helias cama,Helias_cama,Helias cama
Hesperiidae_Pyrginae_Erynnini_Timochares_ruptifasciata,Timochares ruptifasciata,Timochares_ruptifasciata,Timochares ruptifasciata
Hesperiidae_Pyrginae_Erynnini_Timochares_trifasciata,Timochares trifasciata,Timochares_trifasciata,Timochares trifasciata
Hesperiidae_Pyrginae_Erynnini_Ebrietas_osyris,Ebrietas osyris,Ebrietas_osyris,Ebrietas osyris
Hesperiidae_Pyrginae_Erynnini_Ebrietas_evanidus,Ebrietas evanidus,Ebrietas_evanidus,Ebrietas evanidus
Hesperiidae_Pyrginae_Erynnini_Cycloglypha_thrasibulus,Cycloglypha thrasibulus,Cycloglypha_thrasibulus,Cycloglypha thrasibulus
Hesperiidae_Pyrginae_Erynnini_Ebrietas_anacreon,Ebrietas anacreon,Ebrietas_anacreon,Ebrietas anacreon
Hesperiidae_Pyrginae_Erynnini_Gorgythion_vox,Gorgythion vox,Gorgythion_vox,Gorgythion vox
Hesperiidae_Pyrginae_Erynnini_Gorgythion_begga,Gorgythion begga,Gorgythion_begga,Gorgythion begga
Hesperiidae_Pyrginae_Erynnini_Chiomara_asychis,Chiomara asychis,Chiomara_asychis,Chiomara asychis
Hesperiidae_Pyrginae_Erynnini_Chiomara_georgina,Chiomara georgina,Chiomara_georgina,Chiomara georgina
Hesperiidae_Pyrginae_Erynnini_Ephyriades_brunnea,Ephyriades brunnea,Ephyriades_brunnea,Ephyriades brunnea
Hesperiidae_Pyrginae_Erynnini_Anastrus_neaeris,Anastrus neaeris,Anastrus_neaeris,Anastrus neaeris
Hesperiidae_Pyrginae_Erynnini_Mylon_lassia,Mylon lassia,Mylon_lassia,Mylon lassia
Hesperiidae_Pyrginae_Erynnini_Mylon_salvia,Mylon salvia,Mylon_salvia,Mylon salvia
Hesperiidae_Pyrginae_Erynnini_Mylon_maimon,Mylon maimon,Mylon_maimon,Mylon maimon
Hesperiidae_Pyrginae_Erynnini_Anastrus_sempiternus,Anastrus sempiternus,Anastrus_sempiternus,Anastrus sempiternus
Hesperiidae_Pyrginae_Erynnini_Anastrus_meliboea,Anastrus meliboea,Anastrus_meliboea,Anastrus meliboea
Hesperiidae_Pyrginae_Erynnini_Mylon_jason,Mylon jason,Mylon_jason,Mylon jason
Hesperiidae_Pyrginae_Erynnini_Mylon_pelopidas,Mylon pelopidas,Mylon_pelopidas,Mylon pelopidas
Hesperiidae_Pyrginae_Erynnini_Sostrata_bifasciata,Sostrata bifasciata,Sostrata_bifasciata,Sostrata bifasciata
Hesperiidae_Pyrginae_Erynnini_Anastrus_tolimus,Anastrus tolimus,Anastrus_tolimus,Anastrus tolimus
Hesperiidae_Pyrginae_Pyrgini_Eracon_lachesis,Eracon lachesis,Eracon_lachesis,Eracon lachesis
Hesperiidae_Pyrginae_Pyrgini_Onenses_hyalophora,Onenses hyalophora,Onenses_hyalophora,Onenses hyalophora
Hesperiidae_Pyrginae_Pyrgini_Celotes_limpia,Celotes limpia,Celotes_limpia,Celotes limpia
Hesperiidae_Pyrginae_Pyrgini_Celotes_nessus,Celotes nessus,Celotes_nessus,Celotes nessus
Hesperiidae_Pyrginae_Pyrgini_Pyrgus_oileus,Pyrgus oileus,Pyrgus_oileus,Pyrgus oileus
Hesperiidae_Pyrginae_Pyrgini_Pyrgus_philetas,Pyrgus philetas,Pyrgus_philetas,Pyrgus philetas
Hesperiidae_Pyrginae_Pyrgini_Heliopyrgus_domicella,Heliopyrgus domicella,Heliopyrgus_domicella,Heliopyrgus domicella
Hesperiidae_Pyrginae_Pyrgini_Heliopetes_ericetorum,Heliopetes ericetorum,Heliopetes_ericetorum,Heliopetes ericetorum
Hesperiidae_Pyrginae_Pyrgini_Heliopetes_laviana,Heliopetes laviana,Heliopetes_laviana,Heliopetes laviana
Hesperiidae_Pyrginae_Pyrgini_Heliopetes_macaira,Heliopetes macaira,Heliopetes_macaira,Heliopetes macaira
Hesperiidae_Pyrginae_Pyrgini_Heliopetes_arsalte,Heliopetes arsalte,Heliopetes_arsalte,Heliopetes arsalte
Hesperiidae_Pyrginae_Pyrgini_Heliopetes_alana,Heliopetes alana,Heliopetes_alana,Heliopetes alana
Hesperiidae_Pyrginae_Pyrgini_Pyrgus_albescens,Pyrgus albescens,Pyrgus_albescens,Pyrgus albescens
