"x"
"Achalarus lyciades"
"Adelpha bredowii"
"Agraulis vanillae"
"Amblyscirtes aenus"
"Amblyscirtes aesculapius"
"Amblyscirtes celia"
"Amblyscirtes vialis"
"Anaea andria"
"Anartia jatrophae"
"Anatrytone logan"
"Ancyloxypha numitor"
"Anthocharis sara"
"Asbolis capucinus"
"Ascia monuste"
"Asterocampa clyton"
"Atalopedes campestris"
"Atlides halesus"
"Autochton cellus"
"Battus philenor"
"Battus polydamas"
"Boloria bellona"
"Boloria epithore"
"Boloria selene"
"Brephidium exile"
"Brephidium isophthalma"
"Calephelis borealis"
"Calephelis nemesis"
"Calephelis virginiensis"
"Callophrys augustinus"
"Callophrys gryneus"
"Callophrys sheridanii"
"Callophrys spinetorum"
"Calpodes ethlius"
"Calycopis cecrops"
"Calycopis isobeon"
"Carterocephalus palaemon"
"Celastrina ladon"
"Cercyonis oetus"
"Cercyonis pegala"
"Cercyonis sthenele"
"Chlosyne gorgone"
"Chlosyne harrisii"
"Chlosyne hoffmanni"
"Chlosyne lacinia"
"Chlosyne nycteis"
"Chlosyne palla"
"Coenonympha tullia"
"Colias alexandra"
"Colias eurytheme"
"Colias interior"
"Colias philodice"
"Copaeodes aurantiacus"
"Copaeodes minimus"
"Cyllopsis gemma"
"Cymaenes tripunctus"
"Danaus eresimus"
"Danaus gilippus"
"Danaus plexippus"
"Dryas iulia"
"Electrostrymon angelia"
"Enodia anthedon"
"Enodia creola"
"Enodia portlandia"
"Erebia epipsodea"
"Erynnis baptisiae"
"Erynnis funeralis"
"Erynnis horatius"
"Erynnis juvenalis"
"Erynnis lucilius"
"Erynnis martialis"
"Erynnis pacuvius"
"Erynnis persius"
"Erynnis tristis"
"Erynnis zarucco"
"Euchloe ausonides"
"Euphilotes battoides"
"Euphydryas chalcedona"
"Euphydryas editha"
"Euphydryas phaeton"
"Euphyes arpa"
"Euphyes dion"
"Euphyes pilatka"
"Euphyes vestris"
"Euptoieta claudia"
"Eurema daira"
"Eurema lisa"
"Eurema mexicana"
"Eurema nicippe"
"Eurytides marcellus"
"Feniseca tarquinius"
"Glaucopsyche lygdamus"
"Glaucopsyche piasus"
"Habrodais grunus"
"Heliconius charithonia"
"Heliopetes ericetorum"
"Hemiargus ceraunus"
"Hemiargus isola"
"Hermeuptychia sosybius"
"Hesperia comma"
"Hesperia juba"
"Hylephila phyleus"
"Junonia coenia"
"Junonia evarete"
"Leptotes cassius"
"Leptotes marina"
"Lerema accius"
"Lerodea eufala"
"Libytheana carinenta"
"Limenitis archippus"
"Limenitis arthemis"
"Limenitis lorquini"
"Limenitis weidemeyerii"
"Lycaeides melissa"
"Lycaena dione"
"Lycaena epixanthe"
"Lycaena helloides"
"Lycaena hyllus"
"Lycaena mariposa"
"Lycaena nivalis"
"Lycaena phlaeas"
"Lycaena rubidus"
"Marpesia petreus"
"Megisto cymela"
"Mestra amymone"
"Nathalis iole"
"Nymphalis antiopa"
"Nymphalis californica"
"Nymphalis milberti"
"Nymphalis vaualbum"
"Oarisma garita"
"Ochlodes sylvanoides"
"Oligoria maculata"
"Panoquina ocola"
"Papilio canadensis"
"Papilio cresphontes"
"Papilio eurymedon"
"Papilio glaucus"
"Papilio indra"
"Papilio multicaudata"
"Papilio palamedes"
"Papilio polyxenes"
"Papilio rutulus"
"Papilio troilus"
"Papilio zelicaon"
"Parnassius clodius"
"Parrhasius m-album"
"Phocides pigmalion"
"Phoebis agarithe"
"Phoebis philea"
"Phoebis sennae"
"Pholisora catullus"
"Phyciodes campestris"
"Phyciodes mylitta"
"Phyciodes phaon"
"Phyciodes texana"
"Phyciodes tharos"
"Pieris napi"
"Pieris rapae"
"Piruna pirus"
"Plebejus acmon"
"Plebejus icarioides"
"Plebejus lupini"
"Plebejus saepiolus"
"Poanes aaroni"
"Poanes melane"
"Poanes taxiles"
"Poanes viator"
"Poanes zabulon"
"Polites sonora"
"Polites vibex"
"Polygonia progne"
"Pompeius verna"
"Pontia beckerii"
"Pontia occidentalis"
"Pontia protodice"
"Problema byssus"
"Pyrgus communis"
"Pyrgus oileus"
"Pyrgus ruralis"
"Satyrium acadica"
"Satyrium behrii"
"Satyrium calanus"
"Satyrium edwardsii"
"Satyrium saepium"
"Satyrium titus"
"Satyrodes appalachia"
"Satyrodes eurydice"
"Speyeria aphrodite"
"Speyeria atlantis"
"Speyeria coronis"
"Speyeria cybele"
"Speyeria diana"
"Speyeria idalia"
"Staphylus hayhurstii"
"Strymon istapa"
"Strymon melinus"
"Texola elada"
"Thorybes bathyllus"
"Thorybes pylades"
"Thymelicus lineola"
"Urbanus proteus"
"Vanessa annabella"
"Vanessa atalanta"
"Vanessa virginiensis"
